art,name,strasse,plz,ort,telefon,email,traeger,bezirk
kindergarten,Pfarrcaritas Kindergarten,Mitterweg  1,4632,Pichl bei Wels,07247/8009,KG418223@pfarrcaritas-kita.at,Pfarrcaritas,Wels Land
krabbelstube,Pfarrcaritas Krabbelstube,Mitterweg 1,4632,Pichl bei Wels,07247/8009-60,KS418108@pfarrcaritas-kita.at,Pfarrcaritas,Wels Land
kindergarten,Pfarrcaritas Kindergarten,Sattledterstraße 6,4642,Sattledt,07244/8903,KG418224@pfarrcaritas-kita.at,Pfarrcaritas,Wels Land
krabbelstube,Pfarrcaritas Krabbelstube,Marktplatz 3/B,4642,Sattledt,07244/20400,KS418109@pfarrcaritas-kita.at,Pfarrcaritas,Wels Land
krabbelstube,Pfarrcaritas Krabbelstube,Am Bräuberg 3,4651,Stadl-Paura,0699/15901031,KS418112@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Bauordenstraße 1,4651,Stadl-Paura,07245/23803-10,KG418243@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Bauordenstraße 1,4651,Stadl-Paura,0699/15901010,KS418131@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Landstraße 21,4652,Steinerkirchen/Traun,0680/2455054,KS418114@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Landstraße 21,4652,Steinerkirchen/Traun,0680/2455054,KG418228@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Brucknerstraße 6,4641,Steinhaus,07242/27172,KG418229@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Brucknerstraße 6,4641,Steinhaus,07242/27172,KS418106@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Gemeindeplatz 14,4600,"Thalheim bei Wels ""Rundherum""",07242/56410-25,KG418238@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Gemeindeplatz 14,4600,"Thalheim bei Wels ""Rundherum""",07242/56410-25,KS418122@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Rodlbergerstr. 22,4600,"Thalheim b. Wels  ""Kunterbunt""",07242/56410,KG418230@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Rodlbergerstraße 22,4600,"Thalheim bei Wels ""Kunterbunt""",07242/56410,KS418102@pfarrcaritas-kita.at,Pfarrcaritas,
